tempo [s];Z [m];w [m/s];arquivo_origem
15.774;0.373745;-0.014089226;x0.0.csv
15.807;0.37266;-0.008908249;x0.0.csv
15.84;0.373395;-0.005505892;x0.0.csv
15.873;0.371978;0.003238215;x0.0.csv
15.906;0.37322;0.020361111;x0.0.csv
15.939;0.374864;0.00035101;x0.0.csv
15.972;0.372555;-0.003767677;x0.0.csv
16.005;0.373395;0.020554714;x0.0.csv
16.038;0.375546;0.005714646;x0.0.csv
16.071;0.373745;-0.008994108;x0.0.csv
16.104;0.374077;-0.00179798;x0.0.csv
16.137;0.373937;-0.000675926;x0.0.csv
16.17;0.373465;0.015549663;x0.0.csv
16.203;0.375774;0.009345118;x0.0.csv
16.236;0.374164;-0.000177609;x0.0.csv
16.269;0.375424;-0.002070707;x0.0.csv
16.302;0.374427;-0.011406566;x0.0.csv
16.335;0.37399;-0.000705387;x0.0.csv
16.368;0.37399;0.017573232;x0.0.csv
16.401;0.375651;0.021430135;x0.0.csv
16.434;0.376578;-0.006199495;x0.0.csv
16.467;0.374899;-0.024837542;x0.0.csv
16.5;0.373867;-0.016387205;x0.0.csv
16.533;0.373762;-0.001546296;x0.0.csv
16.566;0.374549;-0.005960438;x0.0.csv
16.599;0.372503;0.008481481;x0.0.csv
16.632;0.375791;0.006858586;x0.0.csv
16.665;0.373377;-0.005002525;x0.0.csv
16.698;0.37392;0.017565657;x0.0.csv
16.731;0.375931;0.00501431;x0.0.csv
16.764;0.375161;-0.027829125;x0.0.csv
16.797;0.372275;-0.015482323;x0.0.csv
16.83;0.373885;0.005364478;x0.0.csv
16.863;0.373325;0.009848485;x0.0.csv
16.896;0.374829;0.00343266;x0.0.csv
16.929;0.37385;-0.012718013;x0.0.csv
16.962;0.37364;-0.016505892;x0.0.csv
16.995;0.372363;-0.007907407;x0.0.csv
17.028;0.372363;0.018169192;x0.0.csv
17.061;0.374497;0.019260101;x0.0.csv
17.094;0.374987;-0.014430135;x0.0.csv
17.127;0.372188;-0.014388047;x0.0.csv
17.16;0.37343;0.001512626;x0.0.csv
17.193;0.3728;0.007121212;x0.0.csv
17.226;0.374374;0.007390572;x0.0.csv
17.259;0.372625;0.017098485;x0.0.csv
17.292;0.37364;0.067037037;x0.0.csv
17.325;0.381913;-0.003049663;x0.0.csv
17.358;0.37301;-0.063031145;x0.0.csv
17.391;0.37294;-0.003976431;x0.0.csv
17.424;0.375476;-0.004001684;x0.0.csv
17.457;0.372993;-0.009526936;x0.0.csv
17.49;0.373482;0.010240741;x0.0.csv
17.523;0.375266;-0.007024411;x0.0.csv
17.556;0.37266;-0.014237374;x0.0.csv
17.589;0.373097;0.008381313;x0.0.csv
17.622;0.374217;0.006999158;x0.0.csv
17.655;0.373395;0.008495791;x0.0.csv
17.688;0.375039;0.000881313;x0.0.csv
17.721;0.373762;-0.013354377;x0.0.csv
17.754;0.37336;-0.007143098;x0.0.csv
17.787;0.373412;-0.003006734;x0.0.csv
17.82;0.373412;-0.002338384;x0.0.csv
17.853;0.37294;0.003834175;x0.0.csv
17.886;0.373465;0.013271886;x0.0.csv
17.919;0.374917;-0.005635522;x0.0.csv
17.952;0.372923;-0.020788721;x0.0.csv
17.985;0.372853;-0.017021044;x0.0.csv
18.018;0.371856;-0.011914141;x0.0.csv
18.051;0.371646;0.004542929;x0.0.csv
18.084;0.37266;0.007179293;x0.0.csv
18.117;0.372415;0.001945286;x0.0.csv
18.15;0.372398;0.005068182;x0.0.csv
18.183;0.372835;0.005835017;x0.0.csv
18.216;0.372958;0.003008418;x0.0.csv
18.249;0.372993;0.00076431;x0.0.csv
18.282;0.372818;0.002731481;x0.0.csv
18.315;0.373307;0.001866162;x0.0.csv
18.348;0.37315;-0.002544613;x0.0.csv
18.381;0.372678;0.003191077;x0.0.csv
18.414;0.373132;0.01527862;x0.0.csv
18.447;0.374689;0.001429293;x0.0.csv
18.48;0.372625;0.000915825;x0.0.csv
18.513;0.374934;-0.00475;x0.0.csv
18.546;0.372643;-0.017487374;x0.0.csv
18.579;0.373028;-0.009942761;x0.0.csv
18.612;0.37231;-0.008013468;x0.0.csv
18.645;0.372013;0.007409091;x0.0.csv
18.678;0.372573;0.024544613;x0.0.csv
18.711;0.374759;0.013945286;x0.0.csv
18.744;0.373885;-0.008374579;x0.0.csv
18.777;0.372748;0.006916667;x0.0.csv
18.81;0.374864;0.008537037;x0.0.csv
18.843;0.37329;0.010483165;x0.0.csv
